ScientificName,CommonName
Acacia baileyana,Acacia morada
Acacia mangium,Acacia mangium
Acacia melanoxylon,Acacia negra
Acalypha sp1.,N/A
Acnistus arborescens,Güitite/Tabalgue
Acrocomia aculeata,Palma corozo
Adenanthera pavonina,Chocho/Caracolillo
Adenaria floribunda,Chaparro/Curalito
Adinandra polyneura,Guevas de adan 
Adonidia merrillii,Palma manila
Aiphanes horrida,Palma corocito
Albizia carbonaria,Pisquin
Albizia guachapele,Cedro amarillo
Albizia saman,Saman
Albizia sp.,N/A
Alchornea triplinervia,Escobo/Algodon
Anacardium excelsum,Caracoli
Anacardium occidentale,Marañon
Andira inermis,Borombolo
Aniba sp.,N/A
Annona muricata,Guanabana
Apeiba glabra,Peine mono
Araucaria columnaris,Araucaria real
Archontophoenix alexandrae,Palma reina alejandra
Archontophoenix cunninghamiana,Palma payanesa
Ardisia guianensis,Manglillo
Areca triandra,Palma bambu
Artocarpus altilis,Arbol del pan
Artocarpus heterophyllus,Arbol del pan
Artocarpus integrifolia,Arbol del pan
Aspidosperma spruceanum,Carreto
Astronium graveolens,Diomate
Attalea amygdalina,Taparo
Attalea butyracea,Palma de vino
Averrhoa carambola,Carambolo
Azadirachta indica,Neem
Bactris gasipaes,Palma chontaduro
Bauhinia picta,Casco de vaca (picta)
Bauhinia sp.,Casco de vaca
Bauhinia variegata,Casco de vaca (variegata)
Beilschmiedia sp.,N/A
Billia rosea,Manzano de monte
Bischofia javanica,Cedro de java/madera de java
Bismarckia nobilis,Palma Bismarck plateada
Bixa orellana,Achiote
Blighia sapida,Seso vegetal/Bien me sabe
Bougainvillea sp.,Veranera
Brownea grandiceps,Palocruz/Ariza
Brownea multijuga,Palocruz
Brownea sp.,Ariza
Brugmansia arborea,Borrachero
Brugmansia pittieri,Borrachero
Brunfelsia pauciflora,Francesino
Brunfelsia sp.,Francesino
Brunfelsia uniflora,Francesino
Buchenavia capitata,Muli
Bucida buceras,Olivo negro
Bulnesia arboea,Guayacan polvillo
Bunchosia armeniaca,Confite/Ciruela
Bursera simaruba,Indio desnudo
Byrsonima cumingiana,Noro
Caesalpinia ebano,Ebano
Caesalpinia pluviosa,Acacia amarilla
Caesalpinia pulcherrima,Clavellino
Caesalpinia sp.,N/A
Calliandra haematocephala,Carbonero
Calliandra magdalenae,Carbonero
Calliandra medellinensis,Carbonero
Calliandra pittieri,Carbonero
Calliandra sp.,N/A
Callistemon speciosus,Escobillon rojo
Calophyllum brasiliense,Aceite maria
Cananga odorata,Ylang-Ylang
Carapa guianensis,Cedro güino
Carica papaya,Papayo
Cariniana pyriformis,Abarco
Carludovica palmata,Palma iraca
Caryodendron orinocense,Inchi
Caryota mitis,Palma mariposa/Cola de pescado
Caryota urens,Palma mariposa/Cola de pescado
Cascabela thevetia,Catape
Casearia corymbosa,N/A
Casimiroa edulis,Zapote blanco
Cassia fistula,Lluvia de oro
Cassia grandis,Caña fistula
Castilla sp.,N/A
Cecropia peltata,Yarumo
Cecropia sp.,Yarumo
Cedrela odorata,Cedro
Ceiba pentandra,Ceiba
Ceiba speciosa,Ceiba rosada
